Gene,log2FoldChange,lfcSE,logCPM,stat,pvalue
PLOD1,-1.112038491529742,0.0006538502875257415,7.595001401390151,1536.2341716652095,0.0
WNT6,-3.363151453015691,0.0060751536421461624,1.5092126452392467,1847.7241403355233,0.0
MB21D1,-1.5886082577174223,0.0012725562808875,2.5527975552963116,1697.7235600897525,0.0
PLK1,-2.6048704429506806,0.002552113262785828,4.3166921521211306,2524.3197509805113,0.0
MATN4,-5.472304756331548,0.02102343771007968,-0.27473514946378913,1459.2891934569852,0.0
E2F3,-1.4426341884755267,0.001220389383343584,4.137814281973135,1441.269311363369,0.0
SLC22A5,1.562031309470937,0.0008662838259684782,4.7726377093209,1543.9676235719767,0.0
MED30,-1.1574807404514844,0.00075775407142299,3.1598287043491005,1436.3088581086397,0.0
STMN1,-1.6749202978397781,0.00119686220328693,6.2700496183889385,2038.8176666285071,0.0
DKC1,-0.9912936606021542,0.00045710351667522934,6.091788583958714,1716.9063493382077,0.0
TRIP13,-2.3120758063664373,0.0017992836105815487,3.5683355176368514,2749.578089200674,0.0
EXO1,-2.4417963199075614,0.003008963464014916,2.6765166633712636,1854.6212101205306,0.0
IL12RB2,-3.8539041915656176,0.007800637984247214,2.101510638694043,1924.6864846542242,0.0
RBL1,-1.3991853401941063,0.0010467008690575334,3.3241824148371864,1569.3234471486853,0.0
IMPA2,-1.8869556180463793,0.0016270154279376771,4.839228550129546,1946.6829831981288,0.0
INCENP,-1.1337869969246654,0.0006513825790397097,4.827720438325947,1604.0107416095782,0.0
RASSF4,-1.7844907598888204,0.001545438739546257,4.955665585893157,1813.0719642226857,0.0
RASD2,-2.2473442109213915,0.003073479989523425,4.359409678875265,1515.008927878118,0.0
ORC6,-2.6239139524142425,0.0031572515716256407,1.4897419003593575,2063.568944202475,0.0
ORC1,-2.523277806318579,0.0020368573912381005,2.2793478175129014,2934.594133657204,0.0
SNRPA1,-1.1390644182665393,0.0006542027352918335,4.539928081738439,1612.5856642739177,0.0
CSTB,-1.3892916517913159,0.0008486843612221015,7.014240983743749,1913.076114742488,0.0
DRC3,3.1739980477672765,0.0028197066109653165,2.9872866476880207,1593.0493091767808,0.0
GAPDH,-1.3012501587670446,0.0008920604753705784,11.116506268321444,1580.0706544549698,0.0
GATA3,3.63161842295442,0.002051635419336899,9.310689964526262,2575.9109326738553,0.0
UTP4,-0.908684991424906,0.00044321573099801126,5.149065688763396,1469.6860524986307,0.0
LDHB,-1.9955927282036412,0.001490735488931167,7.173406001450643,2405.4639174947824,0.0
GARS,-0.7740286266638606,0.00032442185784334,6.743142781813524,1432.2265805677857,0.0
CDT1,-2.2280241533596397,0.0023179368804741762,3.8426951429403786,1968.9917288568624,0.0
KRT81,-4.8718309413379135,0.012435422598305339,6.200164129505881,1943.4999718666427,0.0
FOXC1,-3.335239351184373,0.0024224489498892734,4.79796001171229,4557.077097022117,0.0
DLGAP5,-2.319845696039333,0.0029716984256104306,3.063685557931563,1678.5606124676124,0.0
CTSC,-1.6247771795101753,0.0015524334818121511,6.716091592205324,1471.1338749815675,0.0
CTPS1,-1.7000408717314537,0.0009042435619201994,4.842408949690138,2783.689102588217,0.0
